240	C	M1	8	9	100000
245	C	M2	9	10	100000
410	C	M3	1	8	100000
415	C	M4	8	13	100000
425	C	M5	8	10	100000
430	C	M6	10	8	100000
435	C	M7	3	8	100000
440	C	M8	8	58	100000
500	C	M9	10	8	100000
510	C	M10	8	10	100000
560	C	M11	10	8	100000
570	C	M12	8	10	100000
620	C	M13	10	8	100000
630	C	M14	8	10	100000
680	C	M15	10	8	100000
690	C	M16	8	10	100000
740	C	M17	10	8	100000
750	C	M18	8	10	100000
800	C	M19	10	8	100000
810	C	M20	8	10	100000
860	C	M21	10	8	100000
870	C	M22	8	10	100000
920	C	M23	10	8	100000
930	C	M24	8	10	100000
980	C	M25	10	8	100000
990	C	M26	8	10	100000
1040	C	M27	10	8	100000
1050	C	M28	8	10	100000
1060	C	M29	4	8	100000
1065	C	M30	8	60	100000
1120	C	M31	10	8	100000
1130	C	M32	8	10	100000
1180	C	M33	10	8	100000
1190	C	M34	8	10	100000
1240	C	M35	10	8	100000
1250	C	M36	8	10	100000
1250	C	M37	5	8	100000
1310	C	M38	10	8	100000
1320	C	M39	8	10	100000
1300	C	M40	8	29	100000
1305	C	M41	8	10	100000
1310	C	M42	10	8	100000
1380	C	M43	10	29	100000
1390	C	M44	29	10	100000
1440	C	M45	10	29	100000
1450	C	M46	29	10	100000
1420	C	M47	2	8	100000
1430	C	M48	8	27	100000
1480	C	M49	10	29	100000
1490	C	M50	29	10	100000
1540	C	M51	10	29	100000
1550	C	M52	29	10	100000
1600	C	M53	10	29	100000
1610	C	M54	29	10	100000
1660	C	M55	10	29	100000
1670	C	M56	29	10	100000
1645	C	M57	29	8	100000
1720	C	M58	10	29	100000
1730	C	M59	29	10	100000
1780	C	M60	10	29	100000
1790	C	M61	29	10	100000
1840	C	M62	10	29	100000
1850	C	M63	29	10	100000
1900	C	M64	10	29	100000
1910	C	M65	29	10	100000
1960	C	M66	10	29	100000
1970	C	M67	29	10	100000
1945	C	M68	29	8	100000
2020	C	M69	10	29	100000
2030	C	M70	29	10	100000
2000	C	M71	8	27	100000
2010	C	M72	27	8	100000
2060	C	M73	10	29	100000
2070	C	M74	29	10	100000
2120	C	M75	10	29	100000
2120	C	M76	29	10	100000
2130	C	M77	10	8	100000
2135	C	M78	8	58	100000
2135	C	M79	8	29	100000
2140	C	M80	8	60	100000
2140	C	M81	29	9	100000
2145	C	M82	9	29	100000
2200	C	M83	8	27	100000
2205	C	M84	27	8	100000
2210	C	M85	27	20	100000
2215	C	M86	27	13	100000
2220	C	M87	13	14	100000
2220	C	M88	13	15	100000
2220	C	M89	13	16	100000
2220	C	M90	13	17	100000
2220	C	M91	13	18	100000
2220	C	M92	13	19	100000
2220	C	M93	20	27	100000
2225	C	M94	20	21	100000
2226	C	M95	20	22	100000
2227	C	M96	20	23	100000
2228	C	M97	20	24	100000
2229	C	M98	20	25	100000
2230	C	M99	20	26	100000
2600	C	M100	13	27	100000
2960	C	M101	9	29	100000
2960	C	M102	20	27	100000
2970	C	M103	27	13	100000
3000	C	M104	13	27	100000
3020	C	M105	9	29	100000
3030	C	M106	29	9	100000
3080	C	M107	9	29	100000
3090	C	M108	29	9	100000
3090	C	M109	13	19	100000
3100	C	M110	10	30	100000
3100	C	M111	19	13	100000
3140	C	M112	9	29	100000
3150	C	M113	27	20	100000
3150	C	M114	30	10	100000
3190	C	M115	13	18	100000
3200	C	M116	9	29	100000
3200	C	M117	18	13	100000
3200	C	M118	20	27	100000
3260	C	M119	9	29	100000
3285	C	M120	13	17	100000
3290	C	M121	17	13	100000
3295	C	M122	13	16	100000
3295	C	M123	13	15	100000
3295	C	M124	13	14	100000
3305	C	M125	13	16	100000
3320	C	M126	9	29	100000
3330	C	M127	16	13	100000
3360	C	M128	26	20	100000
3365	C	M129	20	26	100000
3367	C	M130	25	20	100000
3375	C	M131	20	25	100000
3380	C	M132	9	29	100000
3390	C	M133	6	8	100000
3395	C	M134	8	31	100000
3400	C	M135	8	29	100000
3440	C	M136	9	29	100000
3450	C	M137	29	9	100000
3455	C	M138	24	20	100000
3460	C	M139	20	24	100000
3470	C	M140	20	21	100000
3470	C	M141	20	22	100000
3470	C	M142	20	23	100000
3488	C	M143	23	20	100000
3490	C	M144	15	13	100000
3495	C	M145	13	15	100000
3495	C	M146	20	23	100000
3500	C	M147	9	29	100000
3510	C	M148	29	9	100000
3560	C	M149	9	29	100000
3570	C	M150	29	9	100000
3600	C	M151	29	31	100000
3620	C	M152	9	29	100000
3625	C	M153	14	13	100000
3630	C	M154	29	9	100000
3630	C	M155	13	14	100000
3630	C	M156	13	15	100000
3630	C	M157	13	16	100000
3630	C	M158	13	17	100000
3630	C	M159	13	18	100000
3630	C	M160	13	19	100000
3678	C	M161	21	20	100000
3680	C	M162	9	29	100000
3683	C	M163	20	21	100000
3685	C	M164	22	20	100000
3745	C	M165	14	13	100000
3690	C	M166	29	9	100000
3690	C	M167	20	22	100000
3700	C	M168	13	14	100000
3700	C	M169	20	21	100000
3700	C	M170	20	22	100000
3700	C	M171	20	23	100000
3700	C	M172	20	24	100000
3700	C	M173	20	25	100000
3700	C	M174	20	26	100000
3702	C	M175	29	8	100000
3712	C	M176	8	31	100000
3740	C	M177	9	29	100000
3772	C	M178	16	13	100000
3750	C	M179	29	9	100000
3760	C	M180	13	16	100000
3820	C	M181	23	20	100000
3830	C	M182	20	23	100000
3800	C	M183	9	29	100000
3890	C	M184	18	13	100000
3900	C	M185	29	9	100000
3910	C	M186	13	18	100000
3960	C	M187	21	20	100000
3820	C	M188	7	8	100000
3825	C	M189	8	27	100000
3835	C	M190	20	21	100000
3830	C	M191	27	32	100000
3850	C	M192	27	11	100000
